1106	158.940476	15	2	2	2	4	3	2	2	4	4	4
.	0	1	.	.	.	.	.	.	.	.	.	.
.	0	54	.	.	.	.	.	.	.	.	.	.
1015	172.676072	16	4	4	3	3	2	3	3	3	3	3
1015	172.676072	16	1	1	1	3	2	3	2	4	4	4
1015	172.676072	16	1	1	1	3	2	3	3	4	3	3
1015	172.676072	16	1	1	1	3	3	2	3	4	4	4
1015	172.676072	16	1	2	2	4	3	2	3	4	3	4
1015	172.676072	16	1	1	1	3	2	2	2	4	4	4
1015	172.676072	16	2	2	2	3	2	3	3	3	3	3
1015	172.676072	16	2	2	2	2	2	3	2	3	3	3
1015	172.676072	16	1	3	1	3	3	4	3	4	4	4
1015	172.676072	16	1	1	3	1	1	1	1	3	3	2
1015	172.676072	16	2	1	1	3	2	4	3	3	3	4
1015	172.676072	16	1	1	1	4	2	2	3	4	4	4
1015	172.676072	16	3	2	1	3	3	3	3	4	4	4
1099	168.867283	46	4	1	4	1	3	3	1	.	.	.
1027	136.279146	52	2	4	2	2	1	2	2	3	3	3
1027	136.279146	52	1	1	1	2	2	3	4	1	1	1
1027	136.279146	52	2	4	2	4	2	3	2	3	3	3
1027	136.279146	52	3	3	3	3	2	3	3	3	3	3
1027	136.279146	52	1	2	2	3	2	2	3	4	4	4
1027	136.279146	52	2	1	1	3	3	2	3	4	3	4
.	0	52	.	.	.	.	.	.	.	.	.	.
1027	136.279146	52	2	1	1	3	3	2	2	4	4	4
1027	136.279146	52	3	1	1	4	2	2	3	4	4	4
1027	136.279146	52	3	3	3	3	3	3	3	3	3	4
1027	136.279146	52	1	1	1	3	2	2	1	3	3	4
1027	136.279146	52	1	4	4	3	2	.	3	4	4	4
1137	201.910838	68	1	2	2	3	2	2	3	3	3	3
.	0	42	.	.	.	.	.	.	.	.	.	.
1154	182.119295	14	1	1	1	3	2	3	3	3	3	4
1159	143.415278	36	1	1	1	3	2	4	4	4	4	4
1159	143.415278	36	3	2	1	3	3	3	4	4	4	4
1072	152.171157	23	3	2	2	3	2	2	2	4	4	4
1072	152.171157	23	2	2	3	4	2	3	3	4	4	4
1072	152.171157	23	2	2	2	3	2	2	2	4	4	3
1072	152.171157	23	1	2	2	3	2	3	3	4	4	4
1072	152.171157	23	2	2	3	4	2	2	3	4	4	4
1049	192.542397	69	4	2	2	4	3	.	3	4	4	4
1049	192.542397	69	3	3	2	3	2	3	2	4	4	4
1049	192.542397	69	1	1	1	4	1	1	3	4	4	1
1049	192.542397	69	4	2	2	2	1	2	3	3	3	4
1049	192.542397	69	4	4	2	2	3	4	3	4	4	4
1049	192.542397	69	1	1	1	3	3	2	4	4	4	4
1049	192.542397	69	1	1	1	3	3	3	2	4	4	4
.	0	69	.	.	.	.	.	.	.	.	.	.
1049	192.542397	69	1	1	1	4	2	2	3	4	4	4
1088	153.705357	43	2	1	2	3	3	2	2	3	3	3
1079	164.991314	5	1	2	2	3	2	.	3	4	4	4
1165	231.818251	67	3	2	2	3	3	2	2	3	4	3
.	0	67	.	.	.	.	.	.	.	.	.	.
1147	143.52315	2	2	2	2	3	2	2	2	3	3	4
1161	147.342994	62	.	.	.	.	.	.	.	.	.	.
1161	147.342994	62	1	2	2	3	2	2	2	4	4	3
1161	147.342994	62	2	1	1	4	3	2	2	3	3	2
1146	127.357753	1	3	1	2	4	2	2	2	3	3	3
1113	273.002934	10	1	2	3	1	2	1	3	4	4	4
1156	176.281483	43	2	1	1	3	2	3	4	3	3	4
1156	176.281483	43	2	1	1	3	3	2	2	4	4	4
1156	176.281483	43	1	1	2	3	2	3	4	4	4	4
1067	155.085395	61	1	1	1	2	2	2	3	4	4	4
1067	155.085395	61	3	2	2	4	4	2	3	3	2	2
1067	155.085395	61	2	1	1	1	3	4	2	4	4	4
1067	155.085395	61	1	1	1	3	1	2	2	4	4	4
1067	155.085395	61	2	2	2	2	2	3	3	2	3	3
1067	155.085395	61	1	1	1	3	3	3	3	4	4	4
1067	155.085395	61	1	1	2	4	2	2	3	4	4	4
1067	155.085395	61	1	1	1	3	1	2	2	4	4	3
1067	155.085395	61	3	3	3	3	3	3	3	4	4	4
1067	155.085395	61	3	2	2	2	2	2	3	3	3	4
1067	155.085395	61	3	1	1	2	1	1	2	3	3	3
1160	160.902654	22	3	3	3	2	2	3	3	2	2	.
1160	160.902654	22	2	2	2	1	1	3	3	4	4	3
1160	160.902654	22	2	1	1	2	2	3	2	4	4	4
1014	160.031604	3	1	2	2	3	3	2	2	4	4	4
1106	158.940476	15	2	2	1	3	2	2	1	3	3	4
1107	172.227777	6	1	2	1	3	3	2	3	4	4	3
1094	118.53188	21	4	3	3	1	1	1	1	1	1	1
1094	118.53188	21	1	1	1	2	2	1	2	3	3	3
.	0	21	.	.	.	.	.	.	.	.	.	.
1106	158.940476	15	3	2	2	2	2	3	3	3	3	3
1106	158.940476	15	1	1	1	3	1	2	3	4	4	4
1106	158.940476	15	2	2	2	3	3	2	2	4	4	4
1106	158.940476	15	3	2	2	2	2	2	3	3	3	4
1106	158.940476	15	1	1	3	2	2	3	1	4	4	4
1106	158.940476	15	3	2	2	2	2	3	2	3	3	3
1016	143.381373	38	2	3	2	4	2	2	3	4	4	4
1078	154.676754	45	1	1	1	3	1	2	1	4	4	4
1078	154.676754	45	1	1	1	3	2	4	4	4	4	4
.	0	45	.	.	.	.	.	.	.	.	.	.
1078	154.676754	45	1	1	1	2	2	3	3	4	4	3
1107	172.227777	6	1	1	1	1	1	1	1	3	3	3
1107	172.227777	6	1	1	1	2	2	3	3	3	3	2
1107	172.227777	6	3	2	2	3	3	2	3	4	4	4
1107	172.227777	6	2	2	2	2	2	2	2	3	3	3
1107	172.227777	6	1	1	1	3	3	3	3	4	4	4
1107	172.227777	6	1	2	2	3	2	3	4	4	3	4
1107	172.227777	6	1	1	1	3	4	2	2	4	4	4
1107	172.227777	6	2	2	2	2	2	2	2	3	3	3
1107	172.227777	6	1	1	1	3	3	3	2	3	3	3
1107	172.227777	6	3	3	3	3	3	3	3	3	3	3
1107	172.227777	6	1	2	2	3	3	2	3	4	4	3
.	0	6	.	.	.	.	.	.	.	.	.	.
1107	172.227777	6	4	1	1	3	2	3	4	4	4	4
1023	168.726565	47	2	2	2	3	3	2	2	4	4	4
1048	132.853164	54	2	2	4	2	2	3	.	4	4	4
1048	132.853164	54	1	2	2	3	2	3	2	4	4	3
1101	176.303724	10	4	2	3	1	2	2	3	3	3	3
1116	149.20148	70	2	2	2	3	2	2	4	3	3	3
1059	142.838662	5	2	1	1	2	1	1	1	4	4	4
